,,correlation
aspect_ratio,elongation,1.0000000000000002
aspect_ratio,flatness,1.0000000000000002
min_intensity,minimum,1.0
max_intensity,maximum,1.0
elongation,flatness,1.0
equivalent_diameter,equivalent_spherical_perimeter,1.0
area,number_of_pixels,1.0
perimeter_crofton,perimeter_simpleitk,1.0
number_of_pixels_on_border,perimeter_on_border,1.0
mean_intensity,mean,0.9999999999999999
equivalent_diameter,equivalent_spherical_radius,0.9999999999999998
equivalent_spherical_perimeter,equivalent_spherical_radius,0.9999999999999998
standard_deviation_intensity,sigma,0.9999968060059741
feret_diameter_max,feret_diameter,0.9999806087268598
perimeter_skimage,perimeter_crofton,0.9997716174708275
perimeter_skimage,perimeter_simpleitk,0.9997716174708274
feret_diameter_max,major_axis_length,0.9944582745678441
major_axis_length,feret_diameter,0.9943644792247668
minor_axis_length,equivalent_ellipsoid_diameter_0,0.9926808115818453
major_axis_length,equivalent_ellipsoid_diameter_1,0.9910900694386217
feret_diameter_max,equivalent_ellipsoid_diameter_1,0.989385981039971
feret_diameter,equivalent_ellipsoid_diameter_1,0.9892687996396867
bbox_area,convex_area,0.9865943338048192
area,convex_area,0.9808337491821046
convex_area,number_of_pixels,0.9808337491821044
circularity,roundness_simpleitk,0.972289547321773
area,bbox_area,0.9692210704247776
bbox_area,number_of_pixels,0.9692210704247776
area,equivalent_spherical_perimeter,0.965765833497744
equivalent_spherical_perimeter,number_of_pixels,0.965765833497744
area,equivalent_diameter,0.9657658334977439
equivalent_diameter,number_of_pixels,0.9657658334977439
area,equivalent_spherical_radius,0.9657658334977437
equivalent_spherical_radius,number_of_pixels,0.9657658334977437
convex_area,perimeter_skimage,0.9635927857009178
convex_area,perimeter_simpleitk,0.9619756829922946
convex_area,perimeter_crofton,0.9619756829922946
feret_diameter_max,equivalent_spherical_perimeter,0.9618093345787143
equivalent_diameter,feret_diameter_max,0.9618093345787126
feret_diameter_max,equivalent_spherical_radius,0.9618093345787126
feret_diameter,equivalent_spherical_radius,0.9615495427263037
equivalent_diameter,feret_diameter,0.9615495427263037
feret_diameter,equivalent_spherical_perimeter,0.9615495427263033
max_intensity,standard_deviation_intensity,0.9557095479586029
standard_deviation_intensity,maximum,0.9557095479586029
max_intensity,sigma,0.9554526263385962
maximum,sigma,0.9554526263385962
bbox_area,perimeter_skimage,0.9532802809685446
bbox_area,perimeter_crofton,0.9512057101429311
bbox_area,perimeter_simpleitk,0.9512057101429309
equivalent_ellipsoid_diameter_1,equivalent_spherical_perimeter,0.9511373841877047
equivalent_ellipsoid_diameter_1,equivalent_spherical_radius,0.9511373841877042
equivalent_diameter,equivalent_ellipsoid_diameter_1,0.9511373841877041
equivalent_ellipsoid_diameter_0,equivalent_spherical_perimeter,0.9504067167599473
equivalent_ellipsoid_diameter_0,equivalent_spherical_radius,0.9504067167599459
equivalent_diameter,equivalent_ellipsoid_diameter_0,0.9504067167599459
