,Unnamed: 0,label,aspect_ratio,perimeter_skimage,major_axis_length,minor_axis_length,circularity,solidity,eccentricity,roundness_skimage,perimeter_on_border,perimeter_on_border_ratio,filename,annotated_class,predicted_class
0,0,1,2.757047134912609,148.22539674441617,60.62421847807529,21.98882192124616,0.5896893527734451,0.9172597864768685,0.931903272776764,0.3571712369439772,0.0,0.0,img01_20220429_ET358_56hpf_1.tif,2.0,2
5,5,6,2.0352317066588936,205.4446968344225,76.99104320555823,37.82912921101714,0.6672089295930894,0.9203285420944558,0.870965290118536,0.4813617381832308,0.0,0.0,img01_20220429_ET358_56hpf_1.tif,2.0,2
6,6,7,1.4743215239875582,115.39696961967,41.08505459210685,27.86709270918408,0.8445864137535779,0.965480043149946,0.7348052946010113,0.6750958172250102,0.0,0.0,img01_20220429_ET358_56hpf_1.tif,2.0,2
8,8,9,1.154275174790669,40.55634918610404,13.506631762877245,11.70139673611772,0.932077420675863,0.9242424242424242,0.4994468250106266,0.8514827026723281,0.0,0.0,img01_20220429_ET358_56hpf_1.tif,0.0,2
14,14,4,1.2382396740658603,78.18376618407356,26.376049071371344,21.301246942575705,0.9004317508264797,0.9563318777292577,0.5897332612873618,0.8016129875100114,0.0,0.0,img02_20220429_ET358_56hpf_2.tif,2.0,2
20,20,10,2.318590902963279,91.59797974644664,36.93757414600136,15.931044195331408,0.6844697728619832,0.9232323232323232,0.9022102757593576,0.426471072856367,0.0,0.0,img02_20220429_ET358_56hpf_2.tif,2.0,2
29,29,4,3.063289986981444,185.9238815542512,75.64067559176026,24.69262652678088,0.5191199462945202,0.9032258064516128,0.9452157137161804,0.3177807076475325,0.0,0.0,img03_20220429_ET358_56hpf_3.tif,0.0,2
30,30,5,1.0934640333114198,173.53910524340094,54.37563084697109,49.72786410020388,0.8750111489809784,0.9748953974895398,0.4045297895841535,0.9030253290426368,0.0,0.0,img03_20220429_ET358_56hpf_3.tif,2.0,2
31,31,6,3.860132219609547,167.05382386916236,73.53527809333718,19.04993764715533,0.4822658307904779,0.9045608108108107,0.965861637079518,0.2521785313586707,0.0,0.0,img03_20220429_ET358_56hpf_3.tif,2.0,2
52,52,27,3.8881523158422073,152.75230867899737,69.96686391535192,17.994887605167417,0.5154021621633171,0.9264278799612778,0.9663604379960378,0.248907074252046,0.0,0.0,img03_20220429_ET358_56hpf_3.tif,2.0,2
55,55,2,2.48100755443145,180.7106781186548,74.9422329494526,30.206370317411803,0.6726415040676632,0.9546695794647734,0.9151726508756652,0.396276472936208,0.0,0.0,img05_20220513_ET358_56hpf_1.tif,2.0,2
59,59,6,2.8417323247832305,52.2842712474619,22.25263627249819,7.830658812735164,0.602197629359505,0.8733333333333333,0.9360383422625852,0.3368359801048363,0.0,0.0,img05_20220513_ET358_56hpf_1.tif,0.0,2
68,68,15,2.6512179440926213,149.68124086713192,61.31266425825482,23.126225588081205,0.6007096175325546,0.9099405267629568,0.9261378803453776,0.3627431441712814,0.0,0.0,img05_20220513_ET358_56hpf_1.tif,2.0,2
74,74,2,3.1611594846976745,69.21320343559641,31.018290734091053,9.812314400536348,0.6085831840806869,0.9027237354085604,0.9486460050232612,0.3070169683563996,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,2.0,2
78,78,6,1.6196897250566569,93.15432893255073,33.1387447067052,20.45993389600962,0.7443323589177354,0.927797833935018,0.7866476486365033,0.5959380711105747,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,1.0,2
79,79,7,1.250285895648442,62.90559159102153,20.85985352722213,16.68406690007767,0.8574229942655996,0.9246575342465754,0.600243831069535,0.7900441717978832,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,0.0,2
85,85,13,1.7114180129058072,55.38477631085024,21.445298463177583,12.53071914719755,0.8521035741452083,0.9369369369369368,0.8115299799127744,0.5758498576914372,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,2.0,2
87,87,15,2.40235979060009,189.82337649086287,76.39026546948422,31.79801200818573,0.6570393408940199,0.9524772497472194,0.9092468261757796,0.4110692385453418,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,2.0,2
90,90,18,2.341480302669368,58.87005768508881,24.559760043155475,10.488988532235998,0.7179366621072196,0.908256880733945,0.9042137233634616,0.4179526376068584,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,2.0,2
93,93,21,2.0740920793817352,54.8700576850888,22.045394597989123,10.628937267124911,0.7387751807634411,0.921875,0.8760949156997017,0.4637112489471249,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,1.0,2
101,101,29,2.890054330600967,111.39696961967,48.44872368269562,16.76394909594002,0.6359496818137451,0.9429429429429428,0.9382292547165147,0.3406474020353238,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,2.0,2
104,104,32,3.19627253404159,98.08326112068522,43.75300013854216,13.688757661480706,0.5747417505298238,0.8678500986193294,0.9497977918504203,0.2926490504495143,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,0.0,2
107,107,35,2.4587489599060017,87.66904755831213,34.993314615349874,14.23216244764072,0.6049493456869187,0.8851674641148325,0.9135569191906402,0.384717267886964,0.0,0.0,img06_20220513_ET358_56hpf_2.tif,2.0,2
108,108,1,1.229034107148445,32.14213562373095,11.395072466022684,9.271567322457038,0.997411239597103,0.942528735632184,0.5813591366447382,0.8040624636323985,0.0,0.0,img08_20220513_ET358_56hpf_4.tif,0.0,2
112,112,5,1.419901996633646,184.50966799187808,63.29534098108231,44.5772603539858,0.8120715394099425,0.9561060408518036,0.709928300063578,0.6991805071100404,0.0,0.0,img08_20220513_ET358_56hpf_4.tif,2.0,2
128,128,11,1.097233221531115,155.82337649086284,48.67769503587746,44.36403681612104,0.8575652039078596,0.9729888432178508,0.4115586683280889,0.8903743001585837,0.0,0.0,img10_20220513_ET358_56hpf_6.tif,2.0,2
129,129,12,1.0839063921574743,199.23759005323595,55.9223398460278,51.59332969216697,0.6917015445717412,0.9333618111917984,0.3857845666754197,0.8895920458598895,0.0,0.0,img10_20220513_ET358_56hpf_6.tif,2.0,2
