,Unnamed: 0,label,area,max_intensity,mean_intensity,min_intensity,median,sum,variance,filename,annotated_class,predicted_class
0,0,1,1031,6.7,2.4125121241513097,0.0,2.3009766340255737,2487.299999999995,1.715425819027646,img01_20220429_ET358_56hpf_1.tif,2.0,2
3,3,4,51,2.6,1.23921568627451,0.2,1.2251953482627869,63.2,0.3096313725490194,img01_20220429_ET358_56hpf_1.tif,0.0,2
6,6,7,895,8.3,3.069832402234637,0.0,2.8986328840255737,2747.5000000000023,3.161997175458956,img01_20220429_ET358_56hpf_1.tif,2.0,2
14,14,4,438,9.0,2.9992389649923896,0.0,2.895833373069763,1313.666666666667,3.3069180849239914,img02_20220429_ET358_56hpf_2.tif,2.0,2
30,30,5,2097,5.638888888888889,2.78862660944206,0.3611111111111111,2.974446654319763,5847.750000000001,1.058031293088818,img03_20220429_ET358_56hpf_3.tif,2.0,2
85,85,13,208,2.622950819672131,1.2813682219419924,0.4262295081967213,1.2818583846092224,266.5245901639344,0.1720986155190379,img06_20220513_ET358_56hpf_2.tif,2.0,2
125,125,8,81,2.5161290322580645,1.2887295898048587,0.3548387096774194,1.2451171875,104.38709677419357,0.2674662131781457,img10_20220513_ET358_56hpf_6.tif,0.0,2
128,128,11,1657,4.112903225806452,2.487472501800767,0.3225806451612903,2.707125663757324,4121.741935483869,0.8212848464525743,img10_20220513_ET358_56hpf_6.tif,2.0,2
136,136,5,163,3.1923076923076925,1.4285040113260974,0.2307692307692307,1.398362398147583,232.8461538461538,0.3250762893676227,img12_20220513_ET358_56hpf_8.tif,0.0,2
164,164,22,152,6.666666666666667,2.319078947368421,0.0,2.0419921875,352.5000000000003,2.634637262305865,img13_20220513_ET358_56hpf_9.tif,2.0,2
166,166,24,851,17.333333333333332,4.730121425773599,0.0,3.8349609375,4025.3333333333367,13.471328233604334,img13_20220513_ET358_56hpf_9.tif,2.0,2
