,Unnamed: 0,label,aspect_ratio,max_intensity,min_intensity,perimeter_skimage,area,mean_intensity,major_axis_length,minor_axis_length,circularity,solidity,eccentricity,roundness_skimage,median,sum,variance,perimeter_on_border,perimeter_on_border_ratio,filename,annotated_class,predicted_class
0,0,1,2.757047134912609,6.7,0.0,148.22539674441617,1031,2.4125121241513097,60.62421847807529,21.98882192124616,0.5896893527734451,0.9172597864768685,0.931903272776764,0.3571712369439772,2.3009766340255737,2487.299999999995,1.715425819027646,0.0,0.0,img01_20220429_ET358_56hpf_1.tif,2.0,2
3,3,4,1.7841451208985288,2.6,0.2,25.65685424949238,51,1.23921568627451,10.909530433916643,6.114710236363733,0.973583547037986,0.9807692307692308,0.8281594845157472,0.5455922321037713,1.2251953482627869,63.2,0.3096313725490194,10.0,0.3702916468685555,img01_20220429_ET358_56hpf_1.tif,0.0,2
5,5,6,2.0352317066588936,11.8,0.0,205.4446968344225,2241,4.143418116912093,76.99104320555823,37.82912921101714,0.6672089295930894,0.9203285420944558,0.870965290118536,0.4813617381832308,4.273242235183716,9285.39999999999,5.129368489832372,0.0,0.0,img01_20220429_ET358_56hpf_1.tif,2.0,2
6,6,7,1.4743215239875582,8.3,0.0,115.39696961967,895,3.069832402234637,41.08505459210685,27.86709270918408,0.8445864137535779,0.965480043149946,0.7348052946010113,0.6750958172250102,2.8986328840255737,2747.5000000000023,3.161997175458956,0.0,0.0,img01_20220429_ET358_56hpf_1.tif,2.0,2
7,7,8,1.112342396166586,6.9,0.0,126.81118318204308,736,2.0634510869565217,34.195865313940786,30.742211599403568,0.5751386703617541,0.832579185520362,0.4379409023456079,0.8013841290440702,1.703320324420929,1518.6999999999994,1.7781861690328338,0.0,0.0,img01_20220429_ET358_56hpf_1.tif,1.0,2
8,8,9,1.154275174790669,4.2,0.2,40.55634918610404,122,1.3778688524590164,13.506631762877245,11.70139673611772,0.932077420675863,0.9242424242424242,0.4994468250106266,0.8514827026723281,1.2849609851837158,168.10000000000002,0.535125999187102,0.0,0.0,img01_20220429_ET358_56hpf_1.tif,0.0,2
13,13,3,1.5372138207687749,3.4444444444444446,0.1111111111111111,51.45584412271571,164,1.1368563685636857,18.15506068615933,11.81036784920384,0.7783667898545522,0.8913043478260869,0.759482624198555,0.6335174134158759,1.1041666865348816,186.44444444444457,0.3934859593994703,0.0,0.0,img02_20220429_ET358_56hpf_2.tif,0.0,2
14,14,4,1.2382396740658603,9.0,0.0,78.18376618407356,438,2.9992389649923896,26.376049071371344,21.301246942575705,0.9004317508264797,0.9563318777292577,0.5897332612873618,0.8016129875100114,2.895833373069763,1313.666666666667,3.3069180849239914,0.0,0.0,img02_20220429_ET358_56hpf_2.tif,2.0,2
16,16,6,1.632943654296378,5.555555555555555,0.0,53.21320343559643,182,1.9328449328449324,19.560479866129,11.978661856864528,0.8076857924485777,0.9238578680203046,0.7905550336109065,0.6056510812005432,1.7708333730697632,351.77777777777777,1.5196450776561292,0.0,0.0,img02_20220429_ET358_56hpf_2.tif,0.0,2
17,17,7,2.065292539084049,3.6666666666666665,0.0,55.698484809834994,184,1.339371980676329,22.25904597964192,10.777672198202849,0.7453168245460452,0.9019607843137256,0.8749612722948952,0.4728406966055826,1.2291666865348816,246.4444444444445,0.4921713905241255,0.0,0.0,img02_20220429_ET358_56hpf_2.tif,0.0,2
20,20,10,2.318590902963279,4.777777777777778,0.0,91.59797974644664,457,1.7345003646973014,36.93757414600136,15.931044195331408,0.6844697728619832,0.9232323232323232,0.9022102757593576,0.426471072856367,1.5625000596046448,792.6666666666669,1.0294744851701525,0.0,0.0,img02_20220429_ET358_56hpf_2.tif,2.0,2
21,21,11,1.3245789756285562,2.6666666666666665,0.2222222222222222,29.556349186104043,72,1.1496913580246912,11.042301536772165,8.33646142656932,1.035716232528903,0.96,0.6557744441494436,0.7518365074132948,1.0208333730697632,82.77777777777774,0.3860753685349417,0.0,0.0,img02_20220429_ET358_56hpf_2.tif,0.0,2
29,29,4,3.063289986981444,2.2222222222222223,0.3055555555555556,185.9238815542512,1428,1.074910519763461,75.64067559176026,24.69262652678088,0.5191199462945202,0.9032258064516128,0.9452157137161804,0.3177807076475325,1.0375977158546448,1534.9722222222226,0.1071312654007752,0.0,0.0,img03_20220429_ET358_56hpf_3.tif,0.0,2
30,30,5,1.0934640333114198,5.638888888888889,0.3611111111111111,173.53910524340094,2097,2.78862660944206,54.37563084697109,49.72786410020388,0.8750111489809784,0.9748953974895398,0.4045297895841535,0.9030253290426368,2.974446654319763,5847.750000000001,1.058031293088818,0.0,0.0,img03_20220429_ET358_56hpf_3.tif,2.0,2
35,35,10,1.6133353017881231,2.305555555555556,0.3888888888888889,49.698484809834994,152,1.0718201754385963,18.109463097416064,11.224860125074205,0.7733340904092778,0.8837209302325582,0.7847329920941248,0.5901230212045996,1.0652669668197632,162.9166666666668,0.1247592600660943,0.0,0.0,img03_20220429_ET358_56hpf_3.tif,0.0,2
